epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1600.33,0.66892,0.41866,0.00288,0.85028,0.83859,0.91203,0.82951,0.48881,0.61131,0.00305,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,1651.3,0.67045,0.41139,0.00286,0.85133,0.80223,0.86215,0.7803,0.49956,0.7928,0.00313,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,1701.09,0.67455,0.41946,0.00292,0.82496,0.80378,0.84692,0.76618,0.47896,0.76669,0.00297,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,1752.11,0.6627,0.39157,0.00282,0.81663,0.85856,0.90262,0.83266,0.45391,0.60171,0.00276,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,1801.41,0.64702,0.37633,0.00274,0.83305,0.82474,0.87052,0.78816,0.52375,0.81739,0.00358,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,1852.66,0.65458,0.38847,0.00284,0.86854,0.83527,0.90282,0.82409,0.48806,0.60544,0.00306,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,1903.1,0.63509,0.36178,0.0027,0.77759,0.8429,0.87597,0.80553,0.46949,0.72592,0.00282,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,1954.13,0.63231,0.384,0.00274,0.91744,0.82747,0.93116,0.86,0.47139,0.54383,0.00298,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,2003.96,0.63582,0.37996,0.00272,0.79635,0.84257,0.89762,0.82585,0.46592,0.61596,0.00286,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,2054.76,0.6446,0.3755,0.00275,0.83767,0.88627,0.90481,0.83695,0.43526,0.47693,0.00266,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,2105.67,0.62481,0.37331,0.00268,0.85425,0.84198,0.89401,0.81583,0.51204,0.65167,0.00346,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,2156.56,0.62509,0.35514,0.00271,0.89424,0.82182,0.90335,0.79769,0.58512,0.64259,0.00395,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,2208,0.61099,0.35926,0.00258,0.79022,0.83753,0.89658,0.80491,0.54163,0.72135,0.0036,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,2258.73,0.62164,0.36051,0.00264,0.88776,0.81832,0.90694,0.81586,0.51532,0.60853,0.00345,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,2309.62,0.60945,0.33879,0.0026,0.84484,0.83431,0.89186,0.80993,0.52013,0.60221,0.00341,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,2360.99,0.61911,0.32483,0.00267,0.85117,0.85086,0.93407,0.85487,0.46776,0.54847,0.00302,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,2410.73,0.61465,0.35257,0.00259,0.82602,0.84751,0.91658,0.83433,0.4758,0.54265,0.00302,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,2460.36,0.62221,0.36199,0.00263,0.8357,0.84051,0.90609,0.81853,0.50074,0.62275,0.00305,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,2510.02,0.60792,0.34297,0.00262,0.90185,0.86206,0.93986,0.84891,0.5132,0.48776,0.00316,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,2560.77,0.59384,0.32203,0.00251,0.79898,0.84781,0.85939,0.77238,0.52566,0.79701,0.00344,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,2610.91,0.60322,0.34505,0.00257,0.81911,0.78934,0.85016,0.77215,0.48817,0.86774,0.00312,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,2661.62,0.59331,0.32491,0.00251,0.85474,0.88626,0.91935,0.83034,0.51738,0.52851,0.00338,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,2713.06,0.60103,0.35017,0.00254,0.84182,0.80831,0.87206,0.80449,0.46563,0.68432,0.0028,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,2763.31,0.59834,0.3577,0.00252,0.85909,0.81215,0.9087,0.82334,0.48046,0.59666,0.00309,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,2814.52,0.57951,0.32022,0.00245,0.82864,0.86037,0.91712,0.85006,0.42525,0.59126,0.00255,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,2864.98,0.58463,0.31704,0.00248,0.81257,0.88529,0.93462,0.86069,0.46092,0.51038,0.00284,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,2916.35,0.58061,0.32465,0.00245,0.87309,0.8777,0.93033,0.86588,0.45483,0.53009,0.00281,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,2967.45,0.59175,0.32802,0.00249,0.78105,0.83609,0.85666,0.789,0.45044,0.79551,0.00282,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,3018.67,0.593,0.35342,0.00253,0.79015,0.87022,0.88603,0.82593,0.44601,0.70557,0.00285,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,3070.28,0.60572,0.33275,0.00257,0.8962,0.87327,0.93618,0.86208,0.47864,0.50156,0.00321,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,3122.19,0.58122,0.34189,0.00246,0.80942,0.83009,0.84896,0.78536,0.43924,0.84299,0.00271,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,3172.27,0.58456,0.31639,0.00246,0.7962,0.8897,0.93708,0.86544,0.47923,0.51334,0.00313,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,3222.93,0.57935,0.3116,0.00248,0.86145,0.87052,0.94801,0.86965,0.45857,0.47689,0.00288,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,3274.32,0.57727,0.31915,0.00245,0.91235,0.82086,0.93043,0.87008,0.39993,0.66148,0.00244,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,3325.28,0.57826,0.32142,0.00243,0.77463,0.8171,0.89183,0.8239,0.46968,0.85999,0.00298,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,3376.82,0.58587,0.32382,0.00249,0.81875,0.83459,0.91507,0.84806,0.45519,0.64268,0.003,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,3425.82,0.57587,0.30176,0.00249,0.84031,0.80467,0.8746,0.81464,0.44529,0.68995,0.00286,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
