epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1457.36,0.72056,0.41402,0.00301,0.8151,0.88367,0.90406,0.83439,0.46376,0.59035,0.00275,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,1506.27,0.72691,0.42547,0.00302,0.82018,0.88383,0.90426,0.81691,0.53605,0.73562,0.00315,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,1553.36,0.73077,0.4264,0.00307,0.82172,0.87326,0.90068,0.80761,0.56133,0.59735,0.00331,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,1599.42,0.71592,0.38743,0.00299,0.90039,0.8873,0.95643,0.85996,0.49982,0.45283,0.00292,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,1646.04,0.69085,0.39158,0.00286,0.90597,0.84555,0.93535,0.84722,0.49552,0.50305,0.00291,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,1693,0.68959,0.37179,0.00293,0.86223,0.90582,0.94001,0.85319,0.47656,0.45754,0.00284,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,1738.52,0.7025,0.37939,0.00294,0.89446,0.86959,0.92812,0.85128,0.48145,0.60372,0.00283,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,1785.17,0.70291,0.38805,0.00294,0.86112,0.85294,0.90852,0.82981,0.46186,0.61948,0.00275,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,1831.54,0.68461,0.37294,0.00285,0.90529,0.87607,0.93519,0.85557,0.50133,0.44569,0.00302,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,1877.75,0.69739,0.38068,0.00291,0.8046,0.88051,0.88827,0.81248,0.46612,0.58757,0.00272,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,1927.18,0.68997,0.37538,0.00288,0.85673,0.88239,0.91366,0.8269,0.53772,0.55082,0.00332,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,1973.3,0.66787,0.3691,0.00279,0.87973,0.87799,0.92872,0.85171,0.4788,0.46456,0.00276,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
