epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2395.32,0.89194,0.54614,0.00381,0.79489,0.68566,0.78934,0.63838,0.87264,1.03807,0.00558,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,2473.32,0.88172,0.53287,0.00375,0.72078,0.64419,0.66808,0.50757,0.96413,2.00407,0.00637,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,2551.51,0.88731,0.54386,0.00383,0.69942,0.75102,0.77983,0.6258,0.89599,1.19858,0.00576,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,2628.62,0.88109,0.51294,0.00375,0.72312,0.68246,0.7285,0.58499,0.85216,1.36723,0.00544,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,2705.69,0.86624,0.55774,0.00376,0.79124,0.68311,0.77142,0.62299,0.84691,1.10149,0.00538,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,2782.98,0.8399,0.52174,0.00362,0.76414,0.65956,0.75924,0.58554,0.90818,1.26694,0.00581,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,2859.51,0.85652,0.51743,0.0037,0.6075,0.60096,0.60947,0.46205,0.8858,1.58491,0.00587,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,2941.63,0.84228,0.50958,0.00361,0.84433,0.75069,0.81935,0.66482,0.83565,1.09645,0.00543,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,3023.54,0.86429,0.49889,0.00372,0.74759,0.73738,0.75782,0.597,0.88564,1.29052,0.00553,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,3104.84,0.8335,0.49297,0.00357,0.69372,0.67042,0.69976,0.56009,0.87794,1.43316,0.00576,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,3184.85,0.82946,0.50833,0.00352,0.80229,0.77563,0.82025,0.675,0.84365,1.01351,0.0054,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
