epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,144.721,0.89354,13.468,0.00396,0.46479,0.43115,0.40535,0.32979,0.73812,10.8513,0.00461,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629,0.00997886,0.00332629
2,233.301,0.93357,3.2828,0.00419,0.37885,0.43797,0.32119,0.216,1.05025,4.02832,0.00717,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303,0.0199591,0.00665303
3,312.591,1.03404,1.67633,0.00472,0.52627,0.55636,0.5452,0.4307,0.9141,2.08975,0.0062,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317,0.0299195,0.00997317
4,386.523,1.07528,1.40586,0.00484,0.38544,0.47178,0.31562,0.23237,1.07735,2.64116,0.00744,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,460.11,1.07167,1.21876,0.00486,0.52193,0.52132,0.49471,0.38006,0.94092,1.88706,0.00608,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,537.286,1.06986,1.15026,0.00487,0.61599,0.64801,0.64902,0.49388,0.96272,1.59595,0.00636,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,614.556,1.04026,1.00595,0.00475,0.46759,0.50917,0.46723,0.33844,1.0738,2.07114,0.00701,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,691.647,1.01358,0.97947,0.00453,0.37548,0.40546,0.25013,0.16812,1.11031,3.9175,0.00769,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,768.384,0.9873,0.91733,0.00444,0.42527,0.45251,0.33479,0.22626,1.18727,2.42073,0.00841,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,845.201,1.01544,0.87401,0.00455,0.64091,0.54948,0.63354,0.4777,0.9837,1.50129,0.00653,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,921.359,0.94021,0.79804,0.00416,0.41194,0.46077,0.35618,0.267,0.96149,2.4923,0.00647,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,999.498,0.96821,0.78827,0.00429,0.50953,0.4482,0.4235,0.29997,1.16392,2.30565,0.00828,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,1076.65,0.93803,0.78325,0.0042,0.73751,0.6925,0.75652,0.59625,0.92883,1.11798,0.00618,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,1154.05,0.91952,0.75188,0.00416,0.68636,0.66691,0.71204,0.55369,0.92821,1.30007,0.00652,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,1231.69,0.92347,0.71972,0.00412,0.72241,0.69182,0.71677,0.5829,0.87844,1.42642,0.00573,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,1308.47,0.91345,0.72397,0.00407,0.7703,0.67094,0.75806,0.62069,0.85109,1.3328,0.00567,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,1385.45,0.89096,0.65847,0.00394,0.71083,0.75747,0.79483,0.64567,0.81768,1.09315,0.00544,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,1460.77,0.89505,0.65962,0.00405,0.60198,0.61832,0.63358,0.50673,0.85856,1.65086,0.0056,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,1538.18,0.87551,0.66709,0.00382,0.7746,0.71842,0.78311,0.63506,0.85371,1.15622,0.0056,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,1615.12,0.85726,0.64156,0.00382,0.67036,0.73347,0.76948,0.62179,0.85418,1.13417,0.00559,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,1691.89,0.86452,0.62871,0.00382,0.75293,0.7405,0.77719,0.62286,0.83641,1.17924,0.00564,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,1769.14,0.84455,0.62175,0.00366,0.61049,0.57489,0.54773,0.43014,0.86549,1.79295,0.00561,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,1846.94,0.82334,0.58757,0.00364,0.73844,0.73817,0.76658,0.62871,0.84548,1.1707,0.00563,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,1923.68,0.8364,0.58865,0.00369,0.76332,0.73537,0.80572,0.64561,0.85407,1.01209,0.00547,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,1999.51,0.81399,0.5661,0.00352,0.63585,0.58573,0.58447,0.45686,0.94894,1.75575,0.00687,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,2076.06,0.80887,0.55532,0.00359,0.50852,0.57329,0.4933,0.38317,0.87924,1.95107,0.00576,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,2152.35,0.80827,0.5501,0.00348,0.59405,0.61864,0.58305,0.47045,0.79904,1.6735,0.00511,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
